timestamp_utc,run_id,pg_version,database,schema,relname,relkind,reltuples,relpages,heap_bytes,index_bytes,total_bytes
2026-08-10T15:14:15Z,E10DBED08E2A894C,16.14,estat,public,dim_asset,r,-1,0,8192,32768,40960
2026-08-10T15:14:15Z,E10DBED08E2A894C,16.14,estat,public,dim_asset_asset_code_key,i,0,1,16384,0,16384
2026-08-10T15:14:15Z,E10DBED08E2A894C,16.14,estat,public,dim_asset_pkey,i,0,1,16384,0,16384
2026-08-10T15:14:15Z,E10DBED08E2A894C,16.14,estat,public,dim_geo,r,-1,0,8192,32768,40960
2026-08-10T15:14:15Z,E10DBED08E2A894C,16.14,estat,public,dim_geo_geo_code_key,i,0,1,16384,0,16384
2026-08-10T15:14:15Z,E10DBED08E2A894C,16.14,estat,public,dim_geo_pkey,i,0,1,16384,0,16384
2026-08-10T15:14:15Z,E10DBED08E2A894C,16.14,estat,public,dim_na_item,r,-1,0,8192,32768,40960
2026-08-10T15:14:15Z,E10DBED08E2A894C,16.14,estat,public,dim_na_item_na_item_code_key,i,0,1,16384,0,16384
2026-08-10T15:14:15Z,E10DBED08E2A894C,16.14,estat,public,dim_na_item_pkey,i,0,1,16384,0,16384
2026-08-10T15:14:15Z,E10DBED08E2A894C,16.14,estat,public,dim_nace,r,96,1,8192,32768,40960
2026-08-10T15:14:15Z,E10DBED08E2A894C,16.14,estat,public,dim_nace_nace_code_key,i,96,2,16384,0,16384
2026-08-10T15:14:15Z,E10DBED08E2A894C,16.14,estat,public,dim_nace_pkey,i,96,2,16384,0,16384
2026-08-10T15:14:15Z,E10DBED08E2A894C,16.14,estat,public,dim_unit,r,-1,0,8192,32768,40960
2026-08-10T15:14:15Z,E10DBED08E2A894C,16.14,estat,public,dim_unit_pkey,i,0,1,16384,0,16384
2026-08-10T15:14:15Z,E10DBED08E2A894C,16.14,estat,public,dim_unit_unit_code_key,i,0,1,16384,0,16384
2026-08-10T15:14:15Z,E10DBED08E2A894C,16.14,estat,public,fact_capital_stock,r,18413162,169332,1387167744,1451565056,2839150592
2026-08-10T15:14:15Z,E10DBED08E2A894C,16.14,estat,public,fact_capital_stock_pkey,i,18413162,50477,413507584,0,413507584
2026-08-10T15:14:15Z,E10DBED08E2A894C,16.14,estat,public,fact_capital_stock_year_geo_id_unit_id_nace_id_asset_id_na__key,i,18413162,126716,1038057472,0,1038057472
