timestamp_utc,run_id,pg_version,query,phase,batch_index,copy_index,batchnum,runs,server_planning_ms,server_execution_ms,plan_nodes,scan_nodes,rows_out,rows_processed,rows_estimated,bytes_processed,rows_removed_filter,workers_launched,relations,shared_hit_blks,shared_read_blks,shared_dirtied_blks,shared_written_blks,temp_read_blks,temp_written_blks,failed
2026-08-10T15:13:03Z,F0835FB40824C98A,16.14,queries/warehouse/3Join.sql,warmup,1,1,1,3,0.780,96.590,12,3,11,1126901,15,24028731,796,1,sales;suppliers;items,3261,0,0,0,0,0,0
2026-08-10T15:13:03Z,F0835FB40824C98A,16.14,queries/warehouse/3Join.sql,warmup,2,1,1,3,0.757,98.368,12,3,11,1126902,15,24028790,796,1,sales;suppliers;items,3261,0,0,0,0,0,0
2026-08-10T15:13:03Z,F0835FB40824C98A,16.14,queries/warehouse/3Join.sql,measured,1,1,5,3,0.757,97.278,12,3,11,1126905,15,24028967,796,1,sales;suppliers;items,3261,0,0,0,0,0,0
2026-08-10T15:13:03Z,F0835FB40824C98A,16.14,queries/warehouse/3Join.sql,measured,1,2,5,3,0.258,96.704,12,3,11,1126894,15,24028318,796,1,sales;suppliers;items,3258,0,0,0,0,0,0
2026-08-10T15:13:03Z,F0835FB40824C98A,16.14,queries/warehouse/3Join.sql,measured,1,3,5,3,0.241,96.395,12,3,11,1126901,15,24028731,796,1,sales;suppliers;items,3258,0,0,0,0,0,0
2026-08-10T15:13:03Z,F0835FB40824C98A,16.14,queries/warehouse/3Join.sql,measured,1,4,5,3,0.237,95.442,12,3,11,1126894,15,24028318,796,1,sales;suppliers;items,3258,0,0,0,0,0,0
2026-08-10T15:13:03Z,F0835FB40824C98A,16.14,queries/warehouse/3Join.sql,measured,1,5,5,3,0.254,98.553,12,3,11,1126893,15,24028259,796,1,sales;suppliers;items,3258,0,0,0,0,0,0
2026-08-10T15:13:04Z,F0835FB40824C98A,16.14,queries/warehouse/3Join.sql,measured,2,1,5,3,0.795,97.351,12,3,11,1126910,15,24029262,796,1,sales;suppliers;items,3261,0,0,0,0,0,0
2026-08-10T15:13:04Z,F0835FB40824C98A,16.14,queries/warehouse/3Join.sql,measured,2,2,5,3,0.252,96.064,12,3,11,1126910,15,24029262,796,1,sales;suppliers;items,3258,0,0,0,0,0,0
2026-08-10T15:13:04Z,F0835FB40824C98A,16.14,queries/warehouse/3Join.sql,measured,2,3,5,3,0.245,97.066,12,3,11,1126884,15,24027728,796,1,sales;suppliers;items,3258,0,0,0,0,0,0
2026-08-10T15:13:04Z,F0835FB40824C98A,16.14,queries/warehouse/3Join.sql,measured,2,4,5,3,0.315,95.513,12,3,11,1126908,15,24029144,796,1,sales;suppliers;items,3258,0,0,0,0,0,0
2026-08-10T15:13:04Z,F0835FB40824C98A,16.14,queries/warehouse/3Join.sql,measured,2,5,5,3,0.260,95.052,12,3,11,1126902,15,24028790,796,1,sales;suppliers;items,3258,0,0,0,0,0,0
2026-08-10T15:13:05Z,F0835FB40824C98A,16.14,queries/warehouse/3Join.sql,measured,3,1,5,3,0.758,97.979,12,3,11,1126905,15,24028967,796,1,sales;suppliers;items,3261,0,0,0,0,0,0
2026-08-10T15:13:05Z,F0835FB40824C98A,16.14,queries/warehouse/3Join.sql,measured,3,2,5,3,0.265,97.431,12,3,11,1126908,15,24029144,796,1,sales;suppliers;items,3258,0,0,0,0,0,0
2026-08-10T15:13:05Z,F0835FB40824C98A,16.14,queries/warehouse/3Join.sql,measured,3,3,5,3,0.246,97.211,12,3,11,1126905,15,24028967,796,1,sales;suppliers;items,3258,0,0,0,0,0,0
2026-08-10T15:13:05Z,F0835FB40824C98A,16.14,queries/warehouse/3Join.sql,measured,3,4,5,3,0.251,95.514,12,3,11,1126900,15,24028672,796,1,sales;suppliers;items,3258,0,0,0,0,0,0
2026-08-10T15:13:05Z,F0835FB40824C98A,16.14,queries/warehouse/3Join.sql,measured,3,5,5,3,0.254,95.091,12,3,11,1126869,15,24026843,796,1,sales;suppliers;items,3258,0,0,0,0,0,0
2026-08-10T15:13:05Z,F0835FB40824C98A,16.14,queries/warehouse/Core/01_scan_access/index_scan.sql,warmup,1,1,1,3,0.308,4.941,1,1,30000,30000,30177,120000,0,0,sales,311,0,0,0,0,0,0
2026-08-10T15:13:05Z,F0835FB40824C98A,16.14,queries/warehouse/Core/01_scan_access/index_scan.sql,warmup,2,1,1,3,0.333,4.966,1,1,30000,30000,30177,120000,0,0,sales,311,0,0,0,0,0,0
2026-08-10T15:13:05Z,F0835FB40824C98A,16.14,queries/warehouse/Core/01_scan_access/index_scan.sql,measured,1,1,5,3,0.310,4.943,1,1,30000,30000,30177,120000,0,0,sales,311,0,0,0,0,0,0
2026-08-10T15:13:05Z,F0835FB40824C98A,16.14,queries/warehouse/Core/01_scan_access/index_scan.sql,measured,1,2,5,3,0.042,4.625,1,1,30000,30000,30177,120000,0,0,sales,311,0,0,0,0,0,0
2026-08-10T15:13:05Z,F0835FB40824C98A,16.14,queries/warehouse/Core/01_scan_access/index_scan.sql,measured,1,3,5,3,0.034,4.376,1,1,30000,30000,30177,120000,0,0,sales,311,0,0,0,0,0,0
2026-08-10T15:13:05Z,F0835FB40824C98A,16.14,queries/warehouse/Core/01_scan_access/index_scan.sql,measured,1,4,5,3,0.035,4.710,1,1,30000,30000,30177,120000,0,0,sales,311,0,0,0,0,0,0
2026-08-10T15:13:05Z,F0835FB40824C98A,16.14,queries/warehouse/Core/01_scan_access/index_scan.sql,measured,1,5,5,3,0.051,4.569,1,1,30000,30000,30177,120000,0,0,sales,311,0,0,0,0,0,0
2026-08-10T15:13:05Z,F0835FB40824C98A,16.14,queries/warehouse/Core/01_scan_access/index_scan.sql,measured,2,1,5,3,0.296,4.946,1,1,30000,30000,30177,120000,0,0,sales,311,0,0,0,0,0,0
