?column?
(41.9,42.1)
(11.98,12.02)
(3.98,4.02)
(67.86,68.14)
(80,80)
(24,24)
(19.92,20.08)
(39.94,40.06)
(87.96,88.04)
(93.92,94.08)
(31.96,32.04)
(25.92,26.08)
(25.9,26.1)
(95.86,96.14)
(53.94,54.06)
(97.94,98.06)
(31.88,32.12)
(69.9,70.1)
(25.88,26.12)
(97.88,98.12)
(57.84,58.16)
(49.84,50.16)
(33.98,34.02)
(31.94,32.06)
(25.88,26.12)
(93.84,94.16)
(63.84,64.16)
(95.86,96.14)
(92,92)
(71.9,72.1)
(99.86,100.14)
(11.92,12.08)
(71.98,72.02)
(79.98,80.02)
(55.86,56.14)
(13.92,14.08)
(39.98,40.02)
(19.92,20.08)
(62,62)
(95.88,96.12)
(33.94,34.06)
(17.96,18.04)
(77.94,78.06)
(69.86,70.14)
(23.92,24.08)
(55.86,56.14)
(49.84,50.16)
(49.98,50.02)
(51.86,52.14)
(87.84,88.16)
(61.88,62.12)
(73.98,74.02)
(21.96,22.04)
(27.86,28.14)
(43.88,44.12)
(63.9,64.1)
(39.94,40.06)
(73.84,74.16)
(51.84,52.16)
(15.88,16.12)
(22,22)
(58,58)
(5.88,6.12)
(37.9,38.1)
(98,98)
(45.9,46.1)
(11.86,12.14)
(79.98,80.02)
(53.96,54.04)
(11.84,12.16)
(53.92,54.08)
(91.86,92.14)
(3.9,4.1)
(49.96,50.04)
(21.9,22.1)
(49.84,50.16)
(93.84,94.16)
(95.86,96.14)
(73.96,74.04)
(67.96,68.04)
(67.92,68.08)
(35.9,36.1)
(57.98,58.02)
(71.92,72.08)
(3.88,4.12)
(61.86,62.14)
(45.86,46.14)
(31.86,32.14)
(17.96,18.04)
(89.86,90.14)
(37.98,38.02)
(47.84,48.16)
(23.84,24.16)
(50,50)
(69.9,70.1)
(91.96,92.04)
(17.92,18.08)
(21.88,22.12)
(33.92,34.08)
(9.98,10.02)
(53.84,54.16)
(19.84,20.16)
(41.84,42.16)
(97.84,98.16)
(71.9,72.1)
(15.92,16.08)
(37.88,38.12)
(97.88,98.12)
(73.9,74.1)
(95.96,96.04)
(67.84,68.16)
(96,96)
(53.92,54.08)
(93.88,94.12)
(61.98,62.02)
(21.86,22.14)
(25.9,26.1)
(51.86,52.14)
(45.94,46.06)
(9.98,10.02)
(81.92,82.08)
(75.86,76.14)
(99.9,100.1)
(93.84,94.16)
(73.88,74.12)
(71.94,72.06)
(37.98,38.02)
(79.92,80.08)
(89.9,90.1)
(17.86,18.14)
(19.86,20.14)
(53.92,54.08)
(63.94,64.06)
(97.92,98.08)
(5.9,6.1)
(75.96,76.04)
(1.9,2.1)
(99.9,100.1)
(11.98,12.02)
(37.94,38.06)
(13.9,14.1)
(81.96,82.04)
(63.92,64.08)
(5.98,6.02)
(31.86,32.14)
(23.98,24.02)
(83.94,84.06)
(44,44)
(41.92,42.08)
(31.98,32.02)
(3.94,4.06)
(55.94,56.06)
(41.94,42.06)
(63.86,64.14)
(37.9,38.1)
(11.9,12.1)
(71.96,72.04)
(58,58)
(35.84,36.16)
(81.96,82.04)
(57.9,58.1)
(71.88,72.12)
(56,56)
(67.94,68.06)
(3.9,4.1)
